INFO:CompressionResult:[{'File': 'Thunderbird', 'Original Size': '262038', 'Original Size Compreseed': '21492.0', 'Original Compress Time': 0.043037, 'Original Decompress Time': 0.040934, 'Prep: Total compressed size': '25232.0', 'Prep: Total compression time': 9.135418, 'Prep: Total decompression time': 9.183987, 'Compressor': 'gzip', 'PreprocessingTime': 1.114425, 'MatchTemplateTime': 0.728339, 'ChunkSize': '256K', 'ChunkId': '10', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 22, 'UniqueNumVariables': 37, 'TemplateSize': 66098, 'VariableSize': 35189}, {'File': 'Thunderbird', 'Original Size': '262038', 'Original Size Compreseed': '19169.0', 'Original Compress Time': 0.072365, 'Original Decompress Time': 0.044404, 'Prep: Total compressed size': '46618.0', 'Prep: Total compression time': 9.862545, 'Prep: Total decompression time': 9.78214, 'Compressor': 'deflate', 'PreprocessingTime': 1.114425, 'MatchTemplateTime': 0.728339, 'ChunkSize': '256K', 'ChunkId': '10', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 22, 'UniqueNumVariables': 37, 'TemplateSize': 66098, 'VariableSize': 35189}, {'File': 'Thunderbird', 'Original Size': '262038', 'Original Size Compreseed': '36380.0', 'Original Compress Time': 0.043261, 'Original Decompress Time': 0.042633, 'Prep: Total compressed size': '44846.0', 'Prep: Total compression time': 9.254852, 'Prep: Total decompression time': 9.243827, 'Compressor': 'lz4', 'PreprocessingTime': 1.114425, 'MatchTemplateTime': 0.728339, 'ChunkSize': '256K', 'ChunkId': '10', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 22, 'UniqueNumVariables': 37, 'TemplateSize': 66098, 'VariableSize': 35189}]
INFO:CompressionResult:[{'File': 'Thunderbird', 'Original Size': '262071', 'Original Size Compreseed': '33392.0', 'Original Compress Time': 0.043036, 'Original Decompress Time': 0.041427, 'Prep: Total compressed size': '87919.0', 'Prep: Total compression time': 74.132492, 'Prep: Total decompression time': 74.044542, 'Compressor': 'gzip', 'PreprocessingTime': 3.25018, 'MatchTemplateTime': 2.737702, 'ChunkSize': '256K', 'ChunkId': '9', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 392, 'UniqueNumVariables': 860, 'TemplateSize': 84632, 'VariableSize': 37583}, {'File': 'Thunderbird', 'Original Size': '262071', 'Original Size Compreseed': '32311.0', 'Original Compress Time': 0.059817, 'Original Decompress Time': 0.043661, 'Prep: Total compressed size': '278745.0', 'Prep: Total compression time': 81.73791, 'Prep: Total decompression time': 82.239538, 'Compressor': 'deflate', 'PreprocessingTime': 3.25018, 'MatchTemplateTime': 2.737702, 'ChunkSize': '256K', 'ChunkId': '9', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 392, 'UniqueNumVariables': 860, 'TemplateSize': 84632, 'VariableSize': 37583}, {'File': 'Thunderbird', 'Original Size': '262071', 'Original Size Compreseed': '48780.0', 'Original Compress Time': 0.042427, 'Original Decompress Time': 0.042131, 'Prep: Total compressed size': '84486.0', 'Prep: Total compression time': 74.178865, 'Prep: Total decompression time': 74.116818, 'Compressor': 'lz4', 'PreprocessingTime': 3.25018, 'MatchTemplateTime': 2.737702, 'ChunkSize': '256K', 'ChunkId': '9', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 392, 'UniqueNumVariables': 860, 'TemplateSize': 84632, 'VariableSize': 37583}]
INFO:CompressionResult:[{'File': 'Thunderbird', 'Original Size': '262070', 'Original Size Compreseed': '20614.0', 'Original Compress Time': 0.04332, 'Original Decompress Time': 0.041706, 'Prep: Total compressed size': '30781.0', 'Prep: Total compression time': 16.045008, 'Prep: Total decompression time': 16.007911, 'Compressor': 'gzip', 'PreprocessingTime': 69.23073, 'MatchTemplateTime': 68.841617, 'ChunkSize': '256K', 'ChunkId': '11', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 35, 'UniqueNumVariables': 148, 'TemplateSize': 91139, 'VariableSize': 27247}, {'File': 'Thunderbird', 'Original Size': '262070', 'Original Size Compreseed': '18311.0', 'Original Compress Time': 0.055991, 'Original Decompress Time': 0.043118, 'Prep: Total compressed size': '71456.0', 'Prep: Total compression time': 17.233766, 'Prep: Total decompression time': 17.246136, 'Compressor': 'deflate', 'PreprocessingTime': 69.23073, 'MatchTemplateTime': 68.841617, 'ChunkSize': '256K', 'ChunkId': '11', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 35, 'UniqueNumVariables': 148, 'TemplateSize': 91139, 'VariableSize': 27247}, {'File': 'Thunderbird', 'Original Size': '262070', 'Original Size Compreseed': '33666.0', 'Original Compress Time': 0.041891, 'Original Decompress Time': 0.041197, 'Prep: Total compressed size': '49700.0', 'Prep: Total compression time': 16.098492, 'Prep: Total decompression time': 16.129794, 'Compressor': 'lz4', 'PreprocessingTime': 69.23073, 'MatchTemplateTime': 68.841617, 'ChunkSize': '256K', 'ChunkId': '11', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 35, 'UniqueNumVariables': 148, 'TemplateSize': 91139, 'VariableSize': 27247}]
INFO:CompressionResult:[{'File': 'Thunderbird', 'Original Size': '262105', 'Original Size Compreseed': '22856.0', 'Original Compress Time': 0.042674, 'Original Decompress Time': 0.041348, 'Prep: Total compressed size': '20013.0', 'Prep: Total compression time': 5.393542, 'Prep: Total decompression time': 5.383505, 'Compressor': 'gzip', 'PreprocessingTime': 16.120641, 'MatchTemplateTime': 15.74921, 'ChunkSize': '256K', 'ChunkId': '12', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 14, 'UniqueNumVariables': 553, 'TemplateSize': 77658, 'VariableSize': 34705}, {'File': 'Thunderbird', 'Original Size': '262105', 'Original Size Compreseed': '21470.0', 'Original Compress Time': 0.056587, 'Original Decompress Time': 0.043701, 'Prep: Total compressed size': '33379.0', 'Prep: Total compression time': 5.761854, 'Prep: Total decompression time': 5.733486, 'Compressor': 'deflate', 'PreprocessingTime': 16.120641, 'MatchTemplateTime': 15.74921, 'ChunkSize': '256K', 'ChunkId': '12', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 14, 'UniqueNumVariables': 553, 'TemplateSize': 77658, 'VariableSize': 34705}, {'File': 'Thunderbird', 'Original Size': '262105', 'Original Size Compreseed': '38674.0', 'Original Compress Time': 0.041365, 'Original Decompress Time': 0.041468, 'Prep: Total compressed size': '42302.0', 'Prep: Total compression time': 5.385488, 'Prep: Total decompression time': 5.396309, 'Compressor': 'lz4', 'PreprocessingTime': 16.120641, 'MatchTemplateTime': 15.74921, 'ChunkSize': '256K', 'ChunkId': '12', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 14, 'UniqueNumVariables': 553, 'TemplateSize': 77658, 'VariableSize': 34705}]
INFO:CompressionResult:[{'File': 'Thunderbird', 'Original Size': '261908', 'Original Size Compreseed': '8457.0', 'Original Compress Time': 0.041303, 'Original Decompress Time': 0.041513, 'Prep: Total compressed size': '21071.0', 'Prep: Total compression time': 16.305715, 'Prep: Total decompression time': 16.322357, 'Compressor': 'gzip', 'PreprocessingTime': 16.433441, 'MatchTemplateTime': 16.057184, 'ChunkSize': '256K', 'ChunkId': '13', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 14, 'UniqueNumVariables': 154, 'TemplateSize': 58979, 'VariableSize': 123023}, {'File': 'Thunderbird', 'Original Size': '261908', 'Original Size Compreseed': '8893.0', 'Original Compress Time': 0.055662, 'Original Decompress Time': 0.0449, 'Prep: Total compressed size': '65454.0', 'Prep: Total compression time': 17.587881, 'Prep: Total decompression time': 17.606844, 'Compressor': 'deflate', 'PreprocessingTime': 16.433441, 'MatchTemplateTime': 16.057184, 'ChunkSize': '256K', 'ChunkId': '13', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 14, 'UniqueNumVariables': 154, 'TemplateSize': 58979, 'VariableSize': 123023}, {'File': 'Thunderbird', 'Original Size': '261908', 'Original Size Compreseed': '12798.0', 'Original Compress Time': 0.041636, 'Original Decompress Time': 0.042249, 'Prep: Total compressed size': '24723.0', 'Prep: Total compression time': 16.308341, 'Prep: Total decompression time': 16.341953, 'Compressor': 'lz4', 'PreprocessingTime': 16.433441, 'MatchTemplateTime': 16.057184, 'ChunkSize': '256K', 'ChunkId': '13', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 14, 'UniqueNumVariables': 154, 'TemplateSize': 58979, 'VariableSize': 123023}]
INFO:CompressionResult:[{'File': 'Thunderbird', 'Original Size': '261920', 'Original Size Compreseed': '6037.0', 'Original Compress Time': 0.041701, 'Original Decompress Time': 0.040858, 'Prep: Total compressed size': '7348.0', 'Prep: Total compression time': 4.509987, 'Prep: Total decompression time': 4.511125, 'Compressor': 'gzip', 'PreprocessingTime': 3.360318, 'MatchTemplateTime': 3.010839, 'ChunkSize': '256K', 'ChunkId': '14', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 5, 'UniqueNumVariables': 28, 'TemplateSize': 115674, 'VariableSize': 64710}, {'File': 'Thunderbird', 'Original Size': '261920', 'Original Size Compreseed': '5965.0', 'Original Compress Time': 0.052113, 'Original Decompress Time': 0.044836, 'Prep: Total compressed size': '18997.0', 'Prep: Total compression time': 4.818104, 'Prep: Total decompression time': 4.807725, 'Compressor': 'deflate', 'PreprocessingTime': 3.360318, 'MatchTemplateTime': 3.010839, 'ChunkSize': '256K', 'ChunkId': '14', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 5, 'UniqueNumVariables': 28, 'TemplateSize': 115674, 'VariableSize': 64710}, {'File': 'Thunderbird', 'Original Size': '261920', 'Original Size Compreseed': '9349.0', 'Original Compress Time': 0.040659, 'Original Decompress Time': 0.041708, 'Prep: Total compressed size': '10304.0', 'Prep: Total compression time': 4.513231, 'Prep: Total decompression time': 4.527636, 'Compressor': 'lz4', 'PreprocessingTime': 3.360318, 'MatchTemplateTime': 3.010839, 'ChunkSize': '256K', 'ChunkId': '14', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 5, 'UniqueNumVariables': 28, 'TemplateSize': 115674, 'VariableSize': 64710}]
INFO:CompressionResult:[{'File': 'Thunderbird', 'Original Size': '262102', 'Original Size Compreseed': '15738.0', 'Original Compress Time': 0.042866, 'Original Decompress Time': 0.040692, 'Prep: Total compressed size': '19328.0', 'Prep: Total compression time': 13.049593, 'Prep: Total decompression time': 12.977174, 'Compressor': 'gzip', 'PreprocessingTime': 1.231654, 'MatchTemplateTime': 0.835316, 'ChunkSize': '256K', 'ChunkId': '15', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 59, 'UniqueNumVariables': 350, 'TemplateSize': 73249, 'VariableSize': 42324}, {'File': 'Thunderbird', 'Original Size': '262102', 'Original Size Compreseed': '15678.0', 'Original Compress Time': 0.055983, 'Original Decompress Time': 0.048296, 'Prep: Total compressed size': '53452.0', 'Prep: Total compression time': 14.052357, 'Prep: Total decompression time': 13.999028, 'Compressor': 'deflate', 'PreprocessingTime': 1.231654, 'MatchTemplateTime': 0.835316, 'ChunkSize': '256K', 'ChunkId': '15', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 59, 'UniqueNumVariables': 350, 'TemplateSize': 73249, 'VariableSize': 42324}, {'File': 'Thunderbird', 'Original Size': '262102', 'Original Size Compreseed': '26621.0', 'Original Compress Time': 0.0411, 'Original Decompress Time': 0.041886, 'Prep: Total compressed size': '22576.0', 'Prep: Total compression time': 13.087162, 'Prep: Total decompression time': 13.058674, 'Compressor': 'lz4', 'PreprocessingTime': 1.231654, 'MatchTemplateTime': 0.835316, 'ChunkSize': '256K', 'ChunkId': '15', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 59, 'UniqueNumVariables': 350, 'TemplateSize': 73249, 'VariableSize': 42324}]
INFO:CompressionResult:[{'File': 'Thunderbird', 'Original Size': '262085', 'Original Size Compreseed': '18446.0', 'Original Compress Time': 0.042895, 'Original Decompress Time': 0.041612, 'Prep: Total compressed size': '38418.0', 'Prep: Total compression time': 26.938893, 'Prep: Total decompression time': 26.926625, 'Compressor': 'gzip', 'PreprocessingTime': 34.847484, 'MatchTemplateTime': 34.450636, 'ChunkSize': '256K', 'ChunkId': '0', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 89, 'UniqueNumVariables': 486, 'TemplateSize': 106299, 'VariableSize': 27856}, {'File': 'Thunderbird', 'Original Size': '262085', 'Original Size Compreseed': '18103.0', 'Original Compress Time': 0.061922, 'Original Decompress Time': 0.044238, 'Prep: Total compressed size': '109619.0', 'Prep: Total compression time': 29.28964, 'Prep: Total decompression time': 29.221245, 'Compressor': 'deflate', 'PreprocessingTime': 34.847484, 'MatchTemplateTime': 34.450636, 'ChunkSize': '256K', 'ChunkId': '0', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 89, 'UniqueNumVariables': 486, 'TemplateSize': 106299, 'VariableSize': 27856}, {'File': 'Thunderbird', 'Original Size': '262085', 'Original Size Compreseed': '34163.0', 'Original Compress Time': 0.040826, 'Original Decompress Time': 0.040728, 'Prep: Total compressed size': '51953.0', 'Prep: Total compression time': 26.98822, 'Prep: Total decompression time': 27.034704, 'Compressor': 'lz4', 'PreprocessingTime': 34.847484, 'MatchTemplateTime': 34.450636, 'ChunkSize': '256K', 'ChunkId': '0', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 89, 'UniqueNumVariables': 486, 'TemplateSize': 106299, 'VariableSize': 27856}]
INFO:CompressionResult:[{'File': 'Thunderbird', 'Original Size': '261903', 'Original Size Compreseed': '10958.0', 'Original Compress Time': 0.042416, 'Original Decompress Time': 0.042545, 'Prep: Total compressed size': '16105.0', 'Prep: Total compression time': 9.166064, 'Prep: Total decompression time': 9.197368, 'Compressor': 'gzip', 'PreprocessingTime': 1.719711, 'MatchTemplateTime': 1.354241, 'ChunkSize': '256K', 'ChunkId': '1', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 16, 'UniqueNumVariables': 101, 'TemplateSize': 66908, 'VariableSize': 141108}, {'File': 'Thunderbird', 'Original Size': '261903', 'Original Size Compreseed': '10859.0', 'Original Compress Time': 0.054135, 'Original Decompress Time': 0.043943, 'Prep: Total compressed size': '39601.0', 'Prep: Total compression time': 9.817772, 'Prep: Total decompression time': 9.815805, 'Compressor': 'deflate', 'PreprocessingTime': 1.719711, 'MatchTemplateTime': 1.354241, 'ChunkSize': '256K', 'ChunkId': '1', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 16, 'UniqueNumVariables': 101, 'TemplateSize': 66908, 'VariableSize': 141108}, {'File': 'Thunderbird', 'Original Size': '261903', 'Original Size Compreseed': '16878.0', 'Original Compress Time': 0.041913, 'Original Decompress Time': 0.0415, 'Prep: Total compressed size': '20910.0', 'Prep: Total compression time': 9.155963, 'Prep: Total decompression time': 9.220685, 'Compressor': 'lz4', 'PreprocessingTime': 1.719711, 'MatchTemplateTime': 1.354241, 'ChunkSize': '256K', 'ChunkId': '1', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 16, 'UniqueNumVariables': 101, 'TemplateSize': 66908, 'VariableSize': 141108}]
INFO:CompressionResult:[{'File': 'Thunderbird', 'Original Size': '262113', 'Original Size Compreseed': '24205.0', 'Original Compress Time': 0.042701, 'Original Decompress Time': 0.041834, 'Prep: Total compressed size': '45672.0', 'Prep: Total compression time': 26.12316, 'Prep: Total decompression time': 26.092629, 'Compressor': 'gzip', 'PreprocessingTime': 12.93437, 'MatchTemplateTime': 12.534624, 'ChunkSize': '256K', 'ChunkId': '2', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 54, 'UniqueNumVariables': 268, 'TemplateSize': 76383, 'VariableSize': 43694}, {'File': 'Thunderbird', 'Original Size': '262113', 'Original Size Compreseed': '23458.0', 'Original Compress Time': 0.059356, 'Original Decompress Time': 0.043775, 'Prep: Total compressed size': '114436.0', 'Prep: Total compression time': 28.265723, 'Prep: Total decompression time': 28.339114, 'Compressor': 'deflate', 'PreprocessingTime': 12.93437, 'MatchTemplateTime': 12.534624, 'ChunkSize': '256K', 'ChunkId': '2', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 54, 'UniqueNumVariables': 268, 'TemplateSize': 76383, 'VariableSize': 43694}, {'File': 'Thunderbird', 'Original Size': '262113', 'Original Size Compreseed': '41170.0', 'Original Compress Time': 0.041084, 'Original Decompress Time': 0.041005, 'Prep: Total compressed size': '69528.0', 'Prep: Total compression time': 26.138115, 'Prep: Total decompression time': 26.238934, 'Compressor': 'lz4', 'PreprocessingTime': 12.93437, 'MatchTemplateTime': 12.534624, 'ChunkSize': '256K', 'ChunkId': '2', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 54, 'UniqueNumVariables': 268, 'TemplateSize': 76383, 'VariableSize': 43694}]
INFO:CompressionResult:[{'File': 'Thunderbird', 'Original Size': '262107', 'Original Size Compreseed': '16563.0', 'Original Compress Time': 0.041708, 'Original Decompress Time': 0.042408, 'Prep: Total compressed size': '22466.0', 'Prep: Total compression time': 17.582044, 'Prep: Total decompression time': 17.555471, 'Compressor': 'gzip', 'PreprocessingTime': 2.028372, 'MatchTemplateTime': 1.632906, 'ChunkSize': '256K', 'ChunkId': '3', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 108, 'UniqueNumVariables': 176, 'TemplateSize': 81729, 'VariableSize': 35053}, {'File': 'Thunderbird', 'Original Size': '262107', 'Original Size Compreseed': '16441.0', 'Original Compress Time': 0.055454, 'Original Decompress Time': 0.043348, 'Prep: Total compressed size': '69636.0', 'Prep: Total compression time': 18.891009, 'Prep: Total decompression time': 18.954325, 'Compressor': 'deflate', 'PreprocessingTime': 2.028372, 'MatchTemplateTime': 1.632906, 'ChunkSize': '256K', 'ChunkId': '3', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 108, 'UniqueNumVariables': 176, 'TemplateSize': 81729, 'VariableSize': 35053}, {'File': 'Thunderbird', 'Original Size': '262107', 'Original Size Compreseed': '26753.0', 'Original Compress Time': 0.042558, 'Original Decompress Time': 0.042202, 'Prep: Total compressed size': '24245.0', 'Prep: Total compression time': 17.63689, 'Prep: Total decompression time': 17.62047, 'Compressor': 'lz4', 'PreprocessingTime': 2.028372, 'MatchTemplateTime': 1.632906, 'ChunkSize': '256K', 'ChunkId': '3', 'BuildTreeFromTemplateTime': 6.73241, 'UniqueNumTemplates': 108, 'UniqueNumVariables': 176, 'TemplateSize': 81729, 'VariableSize': 35053}]
