BuildTreeFromTemplateTime,ChunkId,ChunkSize,Compressor,File,MatchTemplateTime,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
0.001971,58,16K,gzip,HDFS,0.016417,0.004235,0.00239,16278,2070.0,5776.0,0.323912,0.347135,0.044711,5703,5,132,6069
0.001971,58,16K,deflate,HDFS,0.016417,0.0193,0.004615,16278,2186.0,15785.0,0.61863,0.619757,0.044711,5703,5,132,6069
0.001971,58,16K,lz4,HDFS,0.016417,0.014526,0.002557,16278,3502.0,6547.0,0.348269,0.359385,0.044711,5703,5,132,6069
0.001971,17,16K,gzip,HDFS,0.022736,0.003589,0.002707,16353,2191.0,6086.0,0.34553,0.347127,0.049941,5465,6,152,6028
0.001971,17,16K,deflate,HDFS,0.022736,0.008775,0.007223,16353,2278.0,16396.0,0.657215,0.608447,0.049941,5465,6,152,6028
0.001971,17,16K,lz4,HDFS,0.022736,0.00461,0.004676,16353,3695.0,6986.0,0.350658,0.362231,0.049941,5465,6,152,6028
0.001971,30,16K,gzip,HDFS,0.018262,0.003311,0.00247,16320,2096.0,5880.0,0.344665,0.350307,0.044998,5875,5,139,6082
0.001971,30,16K,deflate,HDFS,0.018262,0.009334,0.008058,16320,2244.0,15900.0,0.636891,0.602853,0.044998,5875,5,139,6082
0.001971,30,16K,lz4,HDFS,0.018262,0.003763,0.003801,16320,3517.0,6658.0,0.37111,0.354886,0.044998,5875,5,139,6082
0.001971,7,16K,gzip,HDFS,0.025994,0.003334,0.002453,16378,2051.0,6466.0,0.428073,0.447996,0.053625,5995,7,127,5666
0.001971,7,16K,deflate,HDFS,0.025994,0.007515,0.00556,16378,2179.0,19009.0,0.826064,0.802615,0.053625,5995,7,127,5666
0.001971,7,16K,lz4,HDFS,0.025994,0.004875,0.003645,16378,3496.0,6855.0,0.45167,0.456323,0.053625,5995,7,127,5666
0.001971,60,16K,gzip,HDFS,0.019034,0.003277,0.002366,16313,2197.0,8005.0,0.550693,0.55977,0.048605,5761,8,139,6013
0.001971,60,16K,deflate,HDFS,0.019034,0.009477,0.006891,16313,2322.0,24524.0,1.060112,1.085091,0.048605,5761,8,139,6013
0.001971,60,16K,lz4,HDFS,0.019034,0.004092,0.0037,16313,3584.0,7958.0,0.590658,0.603794,0.048605,5761,8,139,6013
0.001971,59,16K,gzip,HDFS,0.019046,0.003297,0.002435,16284,1986.0,5659.0,0.345523,0.348147,0.046205,5826,6,118,5586
0.001971,59,16K,deflate,HDFS,0.019046,0.008851,0.005896,16284,2115.0,15993.0,0.650979,0.659246,0.046205,5826,6,118,5586
0.001971,59,16K,lz4,HDFS,0.019046,0.003186,0.003204,16284,3508.0,6344.0,0.351793,0.372335,0.046205,5826,6,118,5586
0.001971,32,16K,gzip,HDFS,0.01841,0.003288,0.00241,16341,1322.0,2415.0,0.072041,0.08017,0.041462,7070,1,128,5085
0.001971,32,16K,deflate,HDFS,0.01841,0.009033,0.006581,16341,1471.0,4799.0,0.1499,0.149895,0.041462,7070,1,128,5085
0.001971,32,16K,lz4,HDFS,0.01841,0.003244,0.003123,16341,2162.0,3364.0,0.081019,0.080363,0.041462,7070,1,128,5085
0.001971,24,16K,gzip,HDFS,0.01765,0.003358,0.002456,16296,3050.0,5705.0,0.175311,0.190558,0.043275,4801,3,267,6433
0.001971,24,16K,deflate,HDFS,0.01765,0.008924,0.00758,16296,3142.0,11397.0,0.364575,0.353221,0.043275,4801,3,267,6433
0.001971,24,16K,lz4,HDFS,0.01765,0.004267,0.004265,16296,4997.0,7845.0,0.206616,0.203192,0.043275,4801,3,267,6433
0.001971,14,16K,gzip,HDFS,0.019068,0.00351,0.002488,16264,2108.0,6514.0,0.414931,0.427465,0.04676,5395,6,134,5724
