ChunkId,ChunkSize,Compressor,File,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
17,16K,gzip,HDFS,0.004167,0.002561,16353,2191.0,6082.0,0.335016,0.354005,0.054042,5465,6,152,6028
17,16K,deflate,HDFS,0.03281,0.004899,16353,2278.0,16392.0,0.644654,0.623074,0.054042,5465,6,152,6028
17,16K,lz4,HDFS,0.010207,0.002641,16353,3695.0,6982.0,0.350144,0.365983,0.054042,5465,6,152,6028
2,16K,gzip,HDFS,0.00331,0.002397,16326,2087.0,3931.0,0.151205,0.144258,0.0374,3991,2,199,8590
2,16K,deflate,HDFS,0.007844,0.00743,16326,2298.0,8492.0,0.287023,0.275536,0.0374,3991,2,199,8590
2,16K,lz4,HDFS,0.003379,0.003658,16326,3398.0,5180.0,0.151288,0.168761,0.0374,3991,2,199,8590
25,16K,gzip,HDFS,0.002931,0.002322,16332,2133.0,5897.0,0.31729,0.332577,0.043317,5835,5,147,6112
25,16K,deflate,HDFS,0.009641,0.007863,16332,2249.0,15939.0,0.633504,0.614186,0.043317,5835,5,147,6112
25,16K,lz4,HDFS,0.003726,0.003562,16332,3506.0,6753.0,0.332649,0.333229,0.043317,5835,5,147,6112
24,16K,gzip,HDFS,0.003562,0.002832,16296,3050.0,5721.0,0.192761,0.198271,0.042012,4801,3,267,6433
24,16K,deflate,HDFS,0.010096,0.006044,16296,3142.0,11409.0,0.356572,0.355118,0.042012,4801,3,267,6433
24,16K,lz4,HDFS,0.00392,0.003693,16296,4997.0,7865.0,0.217189,0.209611,0.042012,4801,3,267,6433
29,16K,gzip,HDFS,0.003622,0.002757,16331,2238.0,6131.0,0.35277,0.342928,0.043865,5633,6,155,6084
29,16K,deflate,HDFS,0.009614,0.007235,16331,2349.0,16483.0,0.650635,0.677996,0.043865,5633,6,155,6084
29,16K,lz4,HDFS,0.003013,0.00307,16331,3693.0,6976.0,0.336033,0.348093,0.043865,5633,6,155,6084
13,16K,gzip,HDFS,0.003562,0.002808,16332,1373.0,2402.0,0.076738,0.084148,0.039928,7070,1,119,5076
13,16K,deflate,HDFS,0.007604,0.007848,16332,1494.0,4793.0,0.143712,0.157278,0.039928,7070,1,119,5076
13,16K,lz4,HDFS,0.005023,0.004851,16332,2252.0,3349.0,0.087869,0.080476,0.039928,7070,1,119,5076
26,16K,gzip,HDFS,0.002909,0.002515,16315,2224.0,6120.0,0.345027,0.35666,0.046561,5582,6,149,5936
26,16K,deflate,HDFS,0.008153,0.00672,16315,2340.0,16461.0,0.656483,0.657727,0.046561,5582,6,149,5936
