BuildTreeFromTemplateTime,ChunkId,ChunkSize,Compressor,File,MatchTemplateTime,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
3.69021,35,128K,gzip,Android,47.252604,0.013321,0.014258,131009,18024.0,94833.0,25.877024,25.941042,47.447407,43741,166,400,34245
3.69021,35,128K,deflate,Android,47.252604,0.028053,0.014028,131009,17588.0,304688.0,37.137755,37.117056,47.447407,43741,166,400,34245
3.69021,35,128K,lz4,Android,47.252604,0.022931,0.01457,131009,26587.0,85669.0,26.469056,26.680593,47.447407,43741,166,400,34245
3.69021,36,128K,gzip,Android,0.457051,0.012843,0.013677,131026,14400.0,82282.0,25.42381,25.171518,0.630735,37608,167,353,15419
3.69021,36,128K,deflate,Android,0.457051,0.024426,0.015428,131026,14111.0,284314.0,36.226974,36.377507,0.630735,37608,167,353,15419
3.69021,36,128K,lz4,Android,0.457051,0.014014,0.011913,131026,24020.0,66023.0,25.912754,26.142541,0.630735,37608,167,353,15419
3.69021,37,128K,gzip,Android,5.230103,0.013518,0.011527,130990,15244.0,96886.0,28.247011,28.126359,5.429019,43164,226,588,33254
3.69021,37,128K,deflate,Android,5.230103,0.023411,0.016773,130990,14996.0,329994.0,41.423683,41.502735,5.429019,43164,226,588,33254
3.69021,37,128K,lz4,Android,5.230103,0.012208,0.01315,130990,23248.0,79869.0,29.163519,29.334066,5.429019,43164,226,588,33254
3.69021,38,128K,gzip,Android,50.309003,0.012404,0.012283,131017,16561.0,102337.0,30.649022,30.643292,50.503928,49253,227,339,39735
3.69021,38,128K,deflate,Android,50.309003,0.019388,0.013981,131017,16592.0,354251.0,45.67922,45.838535,50.503928,49253,227,339,39735
3.69021,38,128K,lz4,Android,50.309003,0.013417,0.01157,131017,23437.0,78323.0,31.63066,31.885346,50.503928,49253,227,339,39735
3.69021,39,128K,gzip,Android,36.510116,0.013305,0.013098,130826,17259.0,120966.0,36.898465,36.679991,36.714952,38317,211,450,42871
3.69021,39,128K,deflate,Android,36.510116,0.025188,0.016806,130826,17175.0,410982.0,53.950282,54.128442,36.714952,38317,211,450,42871
3.69021,39,128K,lz4,Android,36.510116,0.013482,0.013428,130826,26261.0,100783.0,37.641584,38.158148,36.714952,38317,211,450,42871
3.69021,40,128K,gzip,Android,2.247996,0.0131,0.013022,131042,18212.0,93548.0,27.323531,27.151081,2.450987,38542,280,476,40105
3.69021,40,128K,deflate,Android,2.247996,0.02882,0.015428,131042,17975.0,311564.0,39.168096,39.025703,2.450987,38542,280,476,40105
3.69021,40,128K,lz4,Android,2.247996,0.013463,0.013683,131042,26937.0,80769.0,27.922231,28.588281,2.450987,38542,280,476,40105
3.69021,41,128K,gzip,Android,1.349802,0.01314,0.013699,130906,19136.0,121473.0,36.195672,36.292357,1.590024,45735,332,682,33082
3.69021,41,128K,deflate,Android,1.349802,0.026025,0.014308,130906,18882.0,411335.0,53.871821,53.714393,1.590024,45735,332,682,33082
3.69021,41,128K,lz4,Android,1.349802,0.012481,0.013125,130906,27929.0,97359.0,37.08122,37.659427,1.590024,45735,332,682,33082
3.69021,42,128K,gzip,Android,4.081395,0.013188,0.01169,131041,14855.0,111848.0,32.692168,32.967288,4.291412,23336,223,777,66836
3.69021,42,128K,deflate,Android,4.081395,0.02257,0.014033,131041,14761.0,375397.0,48.637435,48.607847,4.291412,23336,223,777,66836
3.69021,42,128K,lz4,Android,4.081395,0.013062,0.012228,131041,22755.0,91324.0,33.808095,33.96829,4.291412,23336,223,777,66836
3.69021,43,128K,gzip,Android,49.536062,0.024752,0.025028,131068,14960.0,113408.0,61.461758,61.603232,49.731892,24489,176,711,65577
3.69021,43,128K,deflate,Android,49.536062,0.031736,0.026823,131068,14955.0,382036.0,74.17155,74.285382,49.731892,24489,176,711,65577
3.69021,43,128K,lz4,Android,49.536062,0.025584,0.024322,131068,22498.0,88677.0,61.880477,61.918436,49.731892,24489,176,711,65577
3.69021,44,128K,gzip,Android,38.82128,0.026275,0.024634,131037,14152.0,74571.0,39.350282,39.439212,39.005605,41852,158,300,33489
3.69021,44,128K,deflate,Android,38.82128,0.03386,0.02831,131037,14387.0,247644.0,46.468195,46.642317,39.005605,41852,158,300,33489
3.69021,44,128K,lz4,Android,38.82128,0.025489,0.024565,131037,21666.0,66564.0,39.564054,39.644753,39.005605,41852,158,300,33489
3.69021,45,128K,gzip,Android,101.306045,0.026045,0.024687,131044,18954.0,142327.0,77.801665,77.947862,101.539302,34144,217,705,55396
3.69021,45,128K,deflate,Android,101.306045,0.035363,0.028039,131044,18614.0,480919.0,96.038051,95.878706,101.539302,34144,217,705,55396
3.69021,45,128K,lz4,Android,101.306045,0.024601,0.024833,131044,27757.0,118055.0,78.276704,78.419504,101.539302,34144,217,705,55396
3.69021,46,128K,gzip,Android,9.94133,0.026692,0.025577,130970,13721.0,55914.0,28.27485,28.43696,10.066376,42358,107,263,30493
3.69021,46,128K,deflate,Android,9.94133,0.035547,0.026285,130970,13515.0,180544.0,33.248511,33.355214,10.066376,42358,107,263,30493
3.69021,46,128K,lz4,Android,9.94133,0.025004,0.024751,130970,20727.0,52845.0,28.452966,28.47498,10.066376,42358,107,263,30493
3.69021,47,128K,gzip,Android,56.405084,0.026765,0.027167,130944,23801.0,192075.0,107.345676,107.477916,56.711395,45137,384,862,42748
3.69021,47,128K,deflate,Android,56.405084,0.035749,0.027528,130944,23270.0,654736.0,136.199035,135.932795,56.711395,45137,384,862,42748
3.69021,47,128K,lz4,Android,56.405084,0.024293,0.025603,130944,34642.0,148820.0,108.46726,108.865786,56.711395,45137,384,862,42748
3.69021,48,128K,gzip,Android,2.339613,0.025624,0.024445,130968,19688.0,128262.0,71.080234,71.028327,2.578845,40973,297,661,40011
3.69021,48,128K,deflate,Android,2.339613,0.033343,0.027672,130968,19294.0,438832.0,86.767479,86.989532,2.578845,40973,297,661,40011
3.69021,48,128K,lz4,Android,2.339613,0.024199,0.024358,130968,27413.0,102505.0,71.357291,71.420044,2.578845,40973,297,661,40011
3.69021,49,128K,gzip,Android,53.346529,0.026074,0.027118,130970,18798.0,136994.0,73.664425,73.864221,53.565769,42801,234,510,37041
3.69021,49,128K,deflate,Android,53.346529,0.033516,0.026698,130970,18447.0,457834.0,91.073573,91.242872,53.565769,42801,234,510,37041
3.69021,49,128K,lz4,Android,53.346529,0.02458,0.023541,130970,27253.0,111849.0,74.794525,75.193169,53.565769,42801,234,510,37041
3.69021,50,128K,gzip,Android,2.95508,0.02601,0.025468,131058,18044.0,101069.0,53.362037,53.372372,3.15645,30386,221,649,54362
3.69021,50,128K,deflate,Android,2.95508,0.034415,0.027895,131058,17751.0,335735.0,63.97051,64.037558,3.15645,30386,221,649,54362
3.69021,50,128K,lz4,Android,2.95508,0.024092,0.025557,131058,25193.0,85303.0,53.569504,53.738738,3.15645,30386,221,649,54362
3.69021,51,128K,gzip,Android,20.508004,0.025224,0.024241,130999,18355.0,118998.0,66.249839,66.376716,20.736224,40231,287,584,38726
3.69021,51,128K,deflate,Android,20.508004,0.036501,0.02787,130999,18051.0,405650.0,80.47899,80.558638,20.736224,40231,287,584,38726
3.69021,51,128K,lz4,Android,20.508004,0.025161,0.024413,130999,27462.0,95314.0,66.872845,66.630571,20.736224,40231,287,584,38726
3.69021,52,128K,gzip,Android,21.216718,0.025669,0.024043,131070,16634.0,88727.0,47.826712,47.957849,21.39834,38033,214,397,42344
3.69021,52,128K,deflate,Android,21.216718,0.032588,0.027428,131070,16538.0,301054.0,56.901082,57.433911,21.39834,38033,214,397,42344
3.69021,52,128K,lz4,Android,21.216718,0.026175,0.024702,131070,24785.0,77503.0,48.170945,48.339827,21.39834,38033,214,397,42344
3.69021,53,128K,gzip,Android,29.005792,0.025983,0.024759,131001,19578.0,130705.0,71.526892,71.561307,29.234215,40597,296,554,36550
3.69021,53,128K,deflate,Android,29.005792,0.033655,0.027276,131001,19024.0,442934.0,87.636425,88.154195,29.234215,40597,296,554,36550
3.69021,53,128K,lz4,Android,29.005792,0.024091,0.024496,131001,29466.0,105008.0,71.760295,71.971327,29.234215,40597,296,554,36550
3.69021,54,128K,gzip,Android,65.27029,0.026124,0.025273,131062,16490.0,85268.0,43.091615,43.093428,65.461989,35544,141,579,48037
3.69021,54,128K,deflate,Android,65.27029,0.033849,0.028596,131062,16472.0,273384.0,51.327662,51.442728,65.461989,35544,141,579,48037
3.69021,54,128K,lz4,Android,65.27029,0.024502,0.025915,131062,24755.0,81004.0,43.553106,43.596828,65.461989,35544,141,579,48037
3.69021,55,128K,gzip,Android,2.497992,0.026748,0.025547,130735,25632.0,124526.0,67.277404,67.287313,2.755202,44529,562,514,30578
3.69021,55,128K,deflate,Android,2.497992,0.034355,0.027211,130735,25000.0,418486.0,81.740697,82.24156,2.755202,44529,562,514,30578
3.69021,55,128K,lz4,Android,2.497992,0.024752,0.023682,130735,37051.0,102667.0,67.485155,67.654664,2.755202,44529,562,514,30578
3.69021,56,128K,gzip,Android,2.446857,0.025238,0.024228,130988,20729.0,111359.0,60.054975,60.073549,2.679187,44440,399,555,27652
3.69021,56,128K,deflate,Android,2.446857,0.032966,0.026538,130988,20135.0,374462.0,72.343278,72.75292,2.679187,44440,399,555,27652
3.69021,56,128K,lz4,Android,2.446857,0.023812,0.023922,130988,30523.0,90337.0,60.291587,60.307961,2.679187,44440,399,555,27652
3.69021,57,128K,gzip,Android,2.210121,0.02557,0.024405,130766,22364.0,130860.0,72.832696,72.876012,2.483821,47704,473,491,22264
3.69021,57,128K,deflate,Android,2.210121,0.035258,0.025917,130766,22001.0,448704.0,88.873022,89.15511,2.483821,47704,473,491,22264
3.69021,57,128K,lz4,Android,2.210121,0.023963,0.025438,130766,33170.0,101764.0,73.095944,73.244199,2.483821,47704,473,491,22264
3.69021,58,128K,gzip,Android,73.977397,0.025826,0.027273,130946,12755.0,75069.0,39.383974,39.602308,74.125564,28000,115,532,56700
3.69021,58,128K,deflate,Android,73.977397,0.035255,0.027886,130946,12732.0,246996.0,46.832061,46.882276,74.125564,28000,115,532,56700
3.69021,58,128K,lz4,Android,73.977397,0.025911,0.0248,130946,18728.0,65883.0,39.566563,39.803559,74.125564,28000,115,532,56700
3.69021,59,128K,gzip,Android,72.122649,0.027177,0.026021,131037,16893.0,85738.0,44.252311,44.173694,72.282191,35577,140,528,46287
3.69021,59,128K,deflate,Android,72.122649,0.036809,0.027941,131037,16826.0,275384.0,52.319003,52.792133,72.282191,35577,140,528,46287
3.69021,59,128K,lz4,Android,72.122649,0.025897,0.026181,131037,24392.0,80917.0,44.603731,45.030253,72.282191,35577,140,528,46287
3.69021,60,128K,gzip,Android,363.622748,0.026733,0.026255,130945,16507.0,70822.0,37.752826,37.841554,363.810172,39409,208,281,31042
3.69021,60,128K,deflate,Android,363.622748,0.033514,0.028632,130945,16168.0,236503.0,44.849628,45.038024,363.810172,39409,208,281,31042
3.69021,60,128K,lz4,Android,363.622748,0.026378,0.024772,130945,22814.0,62320.0,38.359516,38.49384,363.810172,39409,208,281,31042
3.69021,61,128K,gzip,Android,20.25701,0.025732,0.025079,131015,21614.0,127652.0,71.274479,71.345428,20.502499,41966,502,519,35583
3.69021,61,128K,deflate,Android,20.25701,0.03533,0.026943,131015,21101.0,438203.0,87.431758,87.397216,20.502499,41966,502,519,35583
3.69021,61,128K,lz4,Android,20.25701,0.025518,0.024143,131015,32115.0,102831.0,71.5356,71.716956,20.502499,41966,502,519,35583
3.69021,62,128K,gzip,Android,25.126371,0.026426,0.026603,131058,18685.0,127785.0,70.114603,69.997986,25.363003,40656,296,619,41565
3.69021,62,128K,deflate,Android,25.126371,0.037202,0.02608,131058,18372.0,432169.0,86.196582,86.500083,25.363003,40656,296,619,41565
3.69021,62,128K,lz4,Android,25.126371,0.024431,0.024982,131058,27766.0,104617.0,70.750702,70.909283,25.363003,40656,296,619,41565
3.69021,63,128K,gzip,Android,12.598775,0.02589,0.025245,131028,22378.0,121659.0,65.615848,65.637581,12.819149,40035,294,574,40092
3.69021,63,128K,deflate,Android,12.598775,0.033436,0.026949,131028,22003.0,407306.0,79.832611,80.012405,12.819149,40035,294,574,40092
3.69021,63,128K,lz4,Android,12.598775,0.025461,0.024677,131028,31825.0,97355.0,65.802585,65.75861,12.819149,40035,294,574,40092
3.69021,64,128K,gzip,Android,47.408215,0.025789,0.025219,130876,17482.0,94994.0,47.614655,47.668921,47.572633,43615,166,408,34459
3.69021,64,128K,deflate,Android,47.408215,0.034851,0.02712,130876,17138.0,304098.0,57.271403,57.438923,47.572633,43615,166,408,34459
3.69021,64,128K,lz4,Android,47.408215,0.024587,0.025091,130876,25831.0,86474.0,48.001657,48.074223,47.572633,43615,166,408,34459
3.69021,65,128K,gzip,Android,1.518948,0.025136,0.024693,131040,18579.0,105346.0,57.412675,57.35318,1.71361,39636,218,446,40482
3.69021,65,128K,deflate,Android,1.518948,0.033185,0.027433,131040,18197.0,357586.0,69.196844,69.573203,1.71361,39636,218,446,40482
3.69021,65,128K,lz4,Android,1.518948,0.024437,0.026002,131040,25683.0,85495.0,57.655471,57.842971,1.71361,39636,218,446,40482
3.69021,66,128K,gzip,Android,2.372344,0.026415,0.025847,131036,15376.0,79028.0,42.174169,42.156235,2.544179,37568,207,393,42040
3.69021,66,128K,deflate,Android,2.372344,0.033376,0.029686,131036,15201.0,265500.0,50.35737,50.634793,2.544179,37568,207,393,42040
3.69021,66,128K,lz4,Android,2.372344,0.024023,0.024038,131036,22792.0,69076.0,42.381908,42.51508,2.544179,37568,207,393,42040
3.69021,67,128K,gzip,Android,3.330642,0.025604,0.024638,131006,25374.0,135999.0,75.145777,75.132519,3.607145,44516,601,565,30586
3.69021,67,128K,deflate,Android,3.330642,0.035145,0.02868,131006,24704.0,463671.0,92.610751,92.857992,3.607145,44516,601,565,30586
3.69021,67,128K,lz4,Android,3.330642,0.026102,0.025345,131006,37214.0,107483.0,75.558532,75.72253,3.607145,44516,601,565,30586
3.69021,68,128K,gzip,Android,142.869108,0.025999,0.025904,130819,18092.0,80652.0,43.101424,43.338362,143.024635,43845,149,385,35207
