ChunkId,ChunkSize,Compressor,File,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
21,16K,gzip,Thunderbird,0.017774,0.013655,16288,2585.0,13525.0,4.814594,4.797827,6.534711,6023,81,145,1775
21,16K,deflate,Thunderbird,0.045254,0.016322,16288,2699.0,47549.0,5.949973,6.003727,6.534711,6023,81,145,1775
21,16K,lz4,Thunderbird,0.021211,0.014078,16288,3585.0,10271.0,4.835759,4.929442,6.534711,6023,81,145,1775
35,16K,gzip,Thunderbird,0.012834,0.01395,16138,1628.0,9782.0,3.027924,2.998619,14.060148,7436,13,44,1215
35,16K,deflate,Thunderbird,0.018609,0.018383,16138,1715.0,31223.0,3.759097,3.779668,14.060148,7436,13,44,1215
35,16K,lz4,Thunderbird,0.015922,0.016801,16138,2418.0,9150.0,3.068144,3.087922,14.060148,7436,13,44,1215
31,16K,gzip,Thunderbird,0.013822,0.013754,16290,3136.0,23194.0,8.63382,8.690156,6.127481,5591,94,116,1860
31,16K,deflate,Thunderbird,0.017227,0.017694,16290,3248.0,83443.0,10.976222,11.076641,6.127481,5591,94,116,1860
31,16K,lz4,Thunderbird,0.014382,0.015625,16290,4362.0,16308.0,8.83162,8.898777,6.127481,5591,94,116,1860
15,16K,gzip,Thunderbird,0.012966,0.014422,16294,1444.0,5089.0,1.529453,1.521955,6.098991,4314,18,91,2818
15,16K,deflate,Thunderbird,0.020284,0.01807,16294,1552.0,16420.0,1.904587,1.861318,6.098991,4314,18,91,2818
15,16K,lz4,Thunderbird,0.015692,0.014748,16294,2358.0,4914.0,1.590007,1.56398,6.098991,4314,18,91,2818
56,16K,gzip,Thunderbird,0.012907,0.014878,16248,1805.0,19343.0,6.772315,6.753036,10.904194,5814,18,52,4511
56,16K,deflate,Thunderbird,0.017841,0.017006,16248,1910.0,68665.0,8.499811,8.349162,10.904194,5814,18,52,4511
56,16K,lz4,Thunderbird,0.014303,0.015643,16248,2566.0,16428.0,6.880399,6.940867,10.904194,5814,18,52,4511
32,16K,gzip,Thunderbird,0.012967,0.01344,16310,1374.0,2292.0,0.544404,0.520238,6.089805,4186,15,3,637
32,16K,deflate,Thunderbird,0.021051,0.016113,16310,1445.0,6197.0,0.650492,0.647909,6.089805,4186,15,3,637
32,16K,lz4,Thunderbird,0.01368,0.015434,16310,2345.0,2879.0,0.54415,0.52571,6.089805,4186,15,3,637
30,16K,gzip,Thunderbird,0.012998,0.013935,16240,2034.0,11487.0,4.031626,4.048486,12.227347,8021,40,33,1087
30,16K,deflate,Thunderbird,0.01884,0.018864,16240,2142.0,39579.0,4.99107,4.97293,12.227347,8021,40,33,1087
30,16K,lz4,Thunderbird,0.015331,0.016429,16240,2950.0,9023.0,4.077299,4.114939,12.227347,8021,40,33,1087
41,16K,gzip,Thunderbird,0.013004,0.013895,16302,1521.0,9151.0,3.240545,3.233814,6.327061,4440,43,68,1838
41,16K,deflate,Thunderbird,0.020765,0.018032,16302,1614.0,31780.0,3.981277,3.988887,6.327061,4440,43,68,1838
41,16K,lz4,Thunderbird,0.013555,0.015202,16302,2434.0,7286.0,3.301573,3.342767,6.327061,4440,43,68,1838
82,16K,gzip,Thunderbird,0.013193,0.01358,16367,2596.0,11433.0,3.783145,3.818005,10.164854,6047,42,67,1482
82,16K,deflate,Thunderbird,0.020059,0.019991,16367,2721.0,38237.0,4.667911,4.641036,10.164854,6047,42,67,1482
82,16K,lz4,Thunderbird,0.013042,0.014361,16367,3916.0,10368.0,3.883472,3.854656,10.164854,6047,42,67,1482
3,16K,gzip,Thunderbird,0.014508,0.013544,16291,2171.0,12153.0,4.337275,4.340478,6.164078,5106,63,112,2376
3,16K,deflate,Thunderbird,0.020004,0.017301,16291,2260.0,42273.0,5.357065,5.30779,6.164078,5106,63,112,2376
3,16K,lz4,Thunderbird,0.014162,0.01304,16291,3157.0,9429.0,4.389759,4.405588,6.164078,5106,63,112,2376
13,16K,gzip,Thunderbird,0.013104,0.014786,16241,1051.0,14069.0,5.116976,5.104806,6.540596,3601,6,61,6960
13,16K,deflate,Thunderbird,0.020743,0.018871,16241,1153.0,52024.0,6.317748,6.366836,6.540596,3601,6,61,6960
13,16K,lz4,Thunderbird,0.01509,0.014042,16241,1460.0,12486.0,5.238244,5.289649,6.540596,3601,6,61,6960
97,16K,gzip,Thunderbird,0.013209,0.014378,16339,1364.0,14881.0,5.422528,5.408382,7.328181,3953,11,62,6801
97,16K,deflate,Thunderbird,0.016133,0.016796,16339,1477.0,54720.0,6.730574,6.695673,7.328181,3953,11,62,6801
97,16K,lz4,Thunderbird,0.016053,0.013257,16339,1914.0,12865.0,5.473499,5.512055,7.328181,3953,11,62,6801
28,16K,gzip,Thunderbird,0.014046,0.015856,16128,1385.0,16047.0,6.086798,6.02925,9.012666,4448,13,23,7773
28,16K,deflate,Thunderbird,0.020278,0.019317,16128,1503.0,59551.0,7.454202,7.462378,9.012666,4448,13,23,7773
28,16K,lz4,Thunderbird,0.015298,0.014418,16128,1957.0,13229.0,6.201808,6.213797,9.012666,4448,13,23,7773
60,16K,gzip,Thunderbird,0.013159,0.015081,16320,1387.0,15160.0,5.652178,5.634351,8.653708,4584,12,42,7022
60,16K,deflate,Thunderbird,0.018252,0.01765,16320,1497.0,56198.0,6.894239,6.982925,8.653708,4584,12,42,7022
60,16K,lz4,Thunderbird,0.014802,0.014966,16320,1924.0,13122.0,5.699049,5.739271,8.653708,4584,12,42,7022
5,16K,gzip,Thunderbird,0.01331,0.014365,16318,1121.0,2301.0,0.677272,0.70595,6.129036,6223,7,5,2331
5,16K,deflate,Thunderbird,0.020364,0.017681,16318,1202.0,7355.0,0.835888,0.831412,6.129036,6223,7,5,2331
5,16K,lz4,Thunderbird,0.014927,0.013806,16318,1739.0,2618.0,0.702463,0.700996,6.129036,6223,7,5,2331
65,16K,gzip,Thunderbird,0.013195,0.014783,16274,2280.0,5800.0,1.928786,1.957868,6.068616,5150,64,48,1182
65,16K,deflate,Thunderbird,0.017863,0.020481,16274,2360.0,19632.0,2.384505,2.396687,6.068616,5150,64,48,1182
65,16K,lz4,Thunderbird,0.016031,0.013699,16274,3374.0,5106.0,1.974104,1.983316,6.068616,5150,64,48,1182
0,16K,gzip,Thunderbird,0.013282,0.014522,16262,2365.0,15859.0,5.742414,5.789539,8.295121,6832,54,66,1705
0,16K,deflate,Thunderbird,0.016614,0.017738,16262,2462.0,55422.0,7.09764,7.045916,8.295121,6832,54,66,1705
0,16K,lz4,Thunderbird,0.017442,0.014876,16262,3602.0,12092.0,5.835958,5.922238,8.295121,6832,54,66,1705
89,16K,gzip,Thunderbird,0.014055,0.014132,16345,2802.0,11776.0,4.24112,4.232139,8.103078,5993,77,120,1739
89,16K,deflate,Thunderbird,0.019175,0.018545,16345,2885.0,40963.0,5.192267,5.216003,8.103078,5993,77,120,1739
89,16K,lz4,Thunderbird,0.014753,0.014067,16345,4071.0,9215.0,4.311463,4.292172,8.103078,5993,77,120,1739
61,16K,gzip,Thunderbird,0.013231,0.013797,16285,3004.0,15714.0,5.762813,5.828941,6.531972,5751,83,115,1790
61,16K,deflate,Thunderbird,0.018475,0.019318,16285,3089.0,55657.0,7.159149,7.103549,6.531972,5751,83,115,1790
61,16K,lz4,Thunderbird,0.014852,0.015431,16285,4292.0,12115.0,5.833392,5.894246,6.531972,5751,83,115,1790
74,16K,gzip,Thunderbird,0.013429,0.013842,16305,1726.0,3448.0,0.791641,0.787598,6.036705,3755,2,4,2620
74,16K,deflate,Thunderbird,0.018888,0.017661,16305,1720.0,9089.0,0.961832,0.972973,6.036705,3755,2,4,2620
