ChunkId,ChunkSize,Compressor,File,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
2,256K,gzip,HDFS,0.00762,0.003969,262121,30098.0,24411.0,0.529942,0.535326,0.221684,52171,10,2381,149240
2,256K,deflate,HDFS,0.051606,0.006241,262121,29546.0,38303.0,0.99525,0.979676,0.221684,52171,10,2381,149240
2,256K,lz4,HDFS,0.009157,0.003131,262121,47137.0,36256.0,0.529463,0.548733,0.221684,52171,10,2381,149240
17,256K,gzip,HDFS,0.005962,0.003416,262040,24054.0,25585.0,0.380218,0.375828,0.245288,89739,7,1262,95304
17,256K,deflate,HDFS,0.030898,0.005989,262040,23843.0,35551.0,0.691847,0.69744,0.245288,89739,7,1262,95304
17,256K,lz4,HDFS,0.004428,0.00427,262040,44414.0,44208.0,0.397585,0.399678,0.245288,89739,7,1262,95304
13,256K,gzip,HDFS,0.005554,0.003662,262006,20588.0,20980.0,0.301453,0.315237,0.233088,105559,7,1128,88719
13,256K,deflate,HDFS,0.026547,0.005937,262006,20435.0,28807.0,0.582678,0.556993,0.233088,105559,7,1128,88719
13,256K,lz4,HDFS,0.00454,0.004747,262006,34773.0,33596.0,0.317987,0.315373,0.233088,105559,7,1128,88719
29,256K,gzip,HDFS,0.006022,0.003675,262077,24681.0,25258.0,0.378982,0.383272,0.248489,89922,7,1258,95019
29,256K,deflate,HDFS,0.030162,0.005818,262077,24225.0,35156.0,0.689686,0.714183,0.248489,89922,7,1258,95019
29,256K,lz4,HDFS,0.0059,0.005496,262077,45014.0,42598.0,0.378567,0.402604,0.248489,89922,7,1258,95019
25,256K,gzip,HDFS,0.00601,0.003707,262016,24852.0,25620.0,0.385046,0.376852,0.250766,89247,7,1290,95433
25,256K,deflate,HDFS,0.029998,0.005777,262016,24508.0,35595.0,0.735529,0.701452,0.250766,89247,7,1290,95433
25,256K,lz4,HDFS,0.004576,0.004497,262016,45487.0,43963.0,0.39488,0.39308,0.250766,89247,7,1290,95433
26,256K,gzip,HDFS,0.006147,0.003377,262035,24912.0,26352.0,0.467856,0.45539,0.251479,89396,8,1272,94698
26,256K,deflate,HDFS,0.031765,0.006207,262035,24644.0,38486.0,0.845756,0.837954,0.251479,89396,8,1272,94698
26,256K,lz4,HDFS,0.004141,0.00371,262035,45723.0,44576.0,0.478152,0.475466,0.251479,89396,8,1272,94698
24,256K,gzip,HDFS,0.007588,0.004433,262139,39660.0,35066.0,0.211726,0.201527,0.226581,76409,3,1447,103053
24,256K,deflate,HDFS,0.035984,0.006413,262139,37575.0,39560.0,0.379564,0.375346,0.226581,76409,3,1447,103053
24,256K,lz4,HDFS,0.005474,0.004531,262139,64102.0,61297.0,0.219002,0.215008,0.226581,76409,3,1447,103053
11,256K,gzip,HDFS,0.007926,0.004205,262111,46049.0,42072.0,0.209185,0.200961,0.225042,68333,3,1801,104479
11,256K,deflate,HDFS,0.03952,0.006105,262111,43108.0,46692.0,0.384844,0.374323,0.225042,68333,3,1801,104479
11,256K,lz4,HDFS,0.004796,0.003792,262111,74943.0,75264.0,0.206756,0.219606,0.225042,68333,3,1801,104479
33,256K,gzip,HDFS,0.008143,0.003931,262065,44931.0,43259.0,0.214254,0.206094,0.232017,69143,3,2019,107751
33,256K,deflate,HDFS,0.038544,0.006425,262065,41673.0,47472.0,0.39447,0.379071,0.232017,69143,3,2019,107751
33,256K,lz4,HDFS,0.005816,0.004007,262065,74095.0,74803.0,0.208642,0.223988,0.232017,69143,3,2019,107751
0,256K,gzip,HDFS,0.006501,0.003627,262061,30774.0,32969.0,0.454472,0.456502,0.23894,72151,7,2229,117185
0,256K,deflate,HDFS,0.028604,0.005838,262061,30322.0,44386.0,0.805283,0.845605,0.23894,72151,7,2229,117185
0,256K,lz4,HDFS,0.00539,0.004863,262061,51707.0,52425.0,0.471236,0.460277,0.23894,72151,7,2229,117185
45,256K,gzip,HDFS,0.00612,0.003442,262034,25086.0,29543.0,0.795075,0.792615,0.252273,89185,12,1273,95316
45,256K,deflate,HDFS,0.031039,0.005735,262034,24836.0,50277.0,1.523235,1.476434,0.252273,89185,12,1273,95316
45,256K,lz4,HDFS,0.005312,0.004951,262034,46044.0,46493.0,0.815896,0.8236,0.252273,89185,12,1273,95316
22,256K,gzip,HDFS,0.007745,0.003809,262063,44548.0,38495.0,0.212161,0.204909,0.228338,66777,3,1596,109427
22,256K,deflate,HDFS,0.036773,0.006035,262063,41384.0,42801.0,0.384662,0.366653,0.228338,66777,3,1596,109427
22,256K,lz4,HDFS,0.006596,0.006283,262063,71858.0,67106.0,0.217443,0.220119,0.228338,66777,3,1596,109427
66,256K,gzip,HDFS,0.007565,0.003758,262077,41335.0,36836.0,0.211836,0.204666,0.227201,75219,3,1536,102719
66,256K,deflate,HDFS,0.036978,0.006177,262077,38765.0,41342.0,0.383772,0.376161,0.227201,75219,3,1536,102719
66,256K,lz4,HDFS,0.00563,0.005178,262077,67060.0,65220.0,0.215546,0.217326,0.227201,75219,3,1536,102719
4,256K,gzip,HDFS,0.005153,0.003352,262008,17337.0,16744.0,0.087864,0.087323,0.231366,112621,1,840,80797
4,256K,deflate,HDFS,0.023389,0.006188,262008,17072.0,18632.0,0.155787,0.154021,0.231366,112621,1,840,80797
4,256K,lz4,HDFS,0.003716,0.003594,262008,29190.0,29196.0,0.087094,0.090806,0.231366,112621,1,840,80797
49,256K,gzip,HDFS,0.007993,0.004126,262123,44511.0,38988.0,0.212425,0.187912,0.229156,66767,3,1625,109411
49,256K,deflate,HDFS,0.033164,0.00617,262123,41855.0,43290.0,0.387751,0.388917,0.229156,66767,3,1625,109411
49,256K,lz4,HDFS,0.003933,0.003577,262123,71862.0,67970.0,0.220794,0.211436,0.229156,66767,3,1625,109411
86,256K,gzip,HDFS,0.007717,0.003864,262023,39814.0,34469.0,0.211825,0.198296,0.229883,75855,3,1410,103663
86,256K,deflate,HDFS,0.037402,0.006383,262023,37647.0,39032.0,0.380241,0.354282,0.229883,75855,3,1410,103663
86,256K,lz4,HDFS,0.004975,0.004282,262023,63856.0,60887.0,0.217402,0.211462,0.229883,75855,3,1410,103663
99,256K,gzip,HDFS,0.006203,0.003437,262124,24574.0,25337.0,0.389728,0.380477,0.2495,89210,7,1259,94894
99,256K,deflate,HDFS,0.031848,0.006019,262124,24449.0,35251.0,0.723076,0.699246,0.2495,89210,7,1259,94894
99,256K,lz4,HDFS,0.004521,0.004182,262124,45412.0,43290.0,0.395681,0.406231,0.2495,89210,7,1259,94894
10,256K,gzip,HDFS,0.007814,0.00364,262047,41635.0,37612.0,0.215503,0.196274,0.223383,72713,3,1578,104663
10,256K,deflate,HDFS,0.034755,0.006183,262047,39193.0,41973.0,0.38642,0.37146,0.223383,72713,3,1578,104663
10,256K,lz4,HDFS,0.005102,0.00442,262047,68530.0,65356.0,0.215157,0.215412,0.223383,72713,3,1578,104663
88,256K,gzip,HDFS,0.006068,0.003711,262141,24817.0,25605.0,0.389036,0.387504,0.247364,88793,7,1273,95654
88,256K,deflate,HDFS,0.031422,0.005905,262141,24699.0,35526.0,0.711077,0.689411,0.247364,88793,7,1273,95654
88,256K,lz4,HDFS,0.006171,0.005342,262141,45763.0,44243.0,0.400441,0.399807,0.247364,88793,7,1273,95654
53,256K,gzip,HDFS,0.005377,0.003644,262110,17457.0,16846.0,0.09718,0.096955,0.231798,112651,2,840,80826
53,256K,deflate,HDFS,0.024201,0.006039,262110,17323.0,19058.0,0.177201,0.174401,0.231798,112651,2,840,80826
53,256K,lz4,HDFS,0.004297,0.004536,262110,29624.0,29125.0,0.09962,0.099855,0.231798,112651,2,840,80826
76,256K,gzip,HDFS,0.006112,0.003464,262033,25509.0,25780.0,0.385237,0.38297,0.248596,89219,7,1270,95392
76,256K,deflate,HDFS,0.030256,0.006011,262033,25281.0,35651.0,0.71449,0.694367,0.248596,89219,7,1270,95392
76,256K,lz4,HDFS,0.004114,0.003183,262033,45981.0,44221.0,0.387783,0.390472,0.248596,89219,7,1270,95392
20,256K,gzip,HDFS,0.006029,0.003689,262076,24650.0,25541.0,0.374386,0.367099,0.242724,88999,6,1248,94982
20,256K,deflate,HDFS,0.029526,0.005778,262076,24428.0,35109.0,0.696727,0.677888,0.242724,88999,6,1248,94982
20,256K,lz4,HDFS,0.005415,0.004879,262076,44933.0,43706.0,0.364092,0.388279,0.242724,88999,6,1248,94982
80,256K,gzip,HDFS,0.008244,0.003914,262129,44623.0,38628.0,0.210834,0.210149,0.229324,66721,3,1591,109592
80,256K,deflate,HDFS,0.03908,0.006193,262129,41499.0,42961.0,0.39773,0.368063,0.229324,66721,3,1591,109592
80,256K,lz4,HDFS,0.004888,0.004939,262129,71971.0,67374.0,0.214017,0.22284,0.229324,66721,3,1591,109592
50,256K,gzip,HDFS,0.006243,0.003548,262046,25268.0,26662.0,0.425434,0.421696,0.245512,88899,7,1288,95139
50,256K,deflate,HDFS,0.030243,0.006193,262046,24960.0,37506.0,0.778196,0.764442,0.245512,88899,7,1288,95139
50,256K,lz4,HDFS,0.004882,0.00434,262046,46629.0,45291.0,0.439088,0.441173,0.245512,88899,7,1288,95139
3,256K,gzip,HDFS,0.005159,0.003551,262039,17331.0,16510.0,0.081139,0.084379,0.233812,112739,1,839,80638
3,256K,deflate,HDFS,0.024544,0.005985,262039,17119.0,18413.0,0.144926,0.159862,0.233812,112739,1,839,80638
3,256K,lz4,HDFS,0.005058,0.00455,262039,29019.0,28852.0,0.087357,0.088793,0.233812,112739,1,839,80638
19,256K,gzip,HDFS,0.006875,0.003606,262078,32416.0,38754.0,0.395075,0.399396,0.219112,50988,6,3426,149038
19,256K,deflate,HDFS,0.031835,0.005882,262078,32577.0,48651.0,0.728186,0.736524,0.219112,50988,6,3426,149038
19,256K,lz4,HDFS,0.004977,0.005236,262078,54366.0,58457.0,0.409956,0.405669,0.219112,50988,6,3426,149038
31,256K,gzip,HDFS,0.007704,0.004092,262070,40476.0,36187.0,0.216965,0.209282,0.221761,75327,3,1468,102725
31,256K,deflate,HDFS,0.035291,0.00635,262070,38071.0,40692.0,0.399679,0.38144,0.221761,75327,3,1468,102725
31,256K,lz4,HDFS,0.004972,0.005149,262070,65751.0,63056.0,0.214754,0.211714,0.221761,75327,3,1468,102725
42,256K,gzip,HDFS,0.006128,0.004069,262035,25334.0,25664.0,0.366784,0.376676,0.242676,88450,6,1238,95612
42,256K,deflate,HDFS,0.031537,0.005979,262035,24998.0,35298.0,0.684336,0.679232,0.242676,88450,6,1238,95612
42,256K,lz4,HDFS,0.005438,0.004694,262035,46043.0,44333.0,0.394722,0.394926,0.242676,88450,6,1238,95612
35,256K,gzip,HDFS,0.006208,0.003691,262125,25023.0,25792.0,0.370203,0.384291,0.24859,88434,7,1261,95183
35,256K,deflate,HDFS,0.031871,0.005962,262125,24785.0,35763.0,0.71053,0.711545,0.24859,88434,7,1261,95183
35,256K,lz4,HDFS,0.004733,0.004542,262125,45690.0,44099.0,0.39685,0.397848,0.24859,88434,7,1261,95183
58,256K,gzip,HDFS,0.006245,0.003575,262105,25037.0,25651.0,0.378003,0.37229,0.249464,88535,6,1253,94850
58,256K,deflate,HDFS,0.031414,0.005792,262105,24705.0,35259.0,0.681457,0.704875,0.249464,88535,6,1253,94850
58,256K,lz4,HDFS,0.005513,0.003698,262105,46312.0,43782.0,0.37583,0.387532,0.249464,88535,6,1253,94850
72,256K,gzip,HDFS,0.006086,0.004022,262116,25545.0,26011.0,0.390538,0.376285,0.250874,89065,7,1263,94965
72,256K,deflate,HDFS,0.030284,0.006022,262116,25234.0,35867.0,0.713735,0.671622,0.250874,89065,7,1263,94965
72,256K,lz4,HDFS,0.003584,0.003627,262116,46734.0,44745.0,0.392173,0.410902,0.250874,89065,7,1263,94965
41,256K,gzip,HDFS,0.006193,0.003886,262109,24873.0,25645.0,0.383883,0.378143,0.242127,88505,7,1249,94963
41,256K,deflate,HDFS,0.031265,0.00594,262109,24619.0,35541.0,0.746492,0.721116,0.242127,88505,7,1249,94963
41,256K,lz4,HDFS,0.004256,0.004019,262109,45300.0,44166.0,0.406758,0.395735,0.242127,88505,7,1249,94963
39,256K,gzip,HDFS,0.006038,0.003675,262058,24942.0,25785.0,0.378021,0.367276,0.245524,88463,6,1245,94692
39,256K,deflate,HDFS,0.029285,0.00591,262058,24643.0,35315.0,0.686931,0.690297,0.245524,88463,6,1245,94692
39,256K,lz4,HDFS,0.00572,0.004974,262058,46027.0,44435.0,0.372442,0.388197,0.245524,88463,6,1245,94692
81,256K,gzip,HDFS,0.006093,0.003788,262086,25239.0,25504.0,0.364504,0.36849,0.251145,89085,6,1254,95194
81,256K,deflate,HDFS,0.029951,0.005801,262086,24941.0,35045.0,0.69914,0.694327,0.251145,89085,6,1254,95194
81,256K,lz4,HDFS,0.005639,0.005596,262086,45904.0,43877.0,0.385748,0.395704,0.251145,89085,6,1254,95194
96,256K,gzip,HDFS,0.006203,0.003794,262044,25628.0,29320.0,0.772973,0.764604,0.255013,89446,12,1252,94839
96,256K,deflate,HDFS,0.032439,0.005954,262044,25324.0,49132.0,1.422559,1.422735,0.255013,89446,12,1252,94839
96,256K,lz4,HDFS,0.005227,0.004179,262044,46221.0,46566.0,0.795065,0.780132,0.255013,89446,12,1252,94839
95,256K,gzip,HDFS,0.006474,0.003859,262084,25381.0,25802.0,0.363305,0.342656,0.245388,89038,6,1269,95087
95,256K,deflate,HDFS,0.031941,0.005869,262084,25078.0,35443.0,0.678958,0.69461,0.245388,89038,6,1269,95087
95,256K,lz4,HDFS,0.004168,0.004503,262084,46296.0,44241.0,0.370634,0.391797,0.245388,89038,6,1269,95087
44,256K,gzip,HDFS,0.006279,0.003687,262010,24910.0,25615.0,0.375026,0.387452,0.247428,88997,7,1228,94673
44,256K,deflate,HDFS,0.028609,0.006006,262010,24876.0,35479.0,0.735941,0.704791,0.247428,88997,7,1228,94673
44,256K,lz4,HDFS,0.00497,0.005589,262010,46068.0,43952.0,0.391778,0.39889,0.247428,88997,7,1228,94673
68,256K,gzip,HDFS,0.00609,0.003762,262038,22920.0,22597.0,0.366208,0.372921,0.243302,88566,6,958,93576
68,256K,deflate,HDFS,0.02953,0.005733,262038,23239.0,32525.0,0.667801,0.677033,0.243302,88566,6,958,93576
68,256K,lz4,HDFS,0.005143,0.00474,262038,42654.0,41224.0,0.382044,0.382679,0.243302,88566,6,958,93576
23,256K,gzip,HDFS,0.00643,0.003805,262133,28958.0,33554.0,0.463152,0.444809,0.238109,82624,8,2145,108513
23,256K,deflate,HDFS,0.028631,0.006063,262133,28517.0,45316.0,0.831802,0.83386,0.238109,82624,8,2145,108513
