BuildTreeFromTemplateTime,ChunkId,ChunkSize,Compressor,File,MatchTemplateTime,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
3.764663,0,16K,gzip,Android,0.265381,0.011113,0.010886,16338,3963.0,24048.0,6.406723,6.40305,0.344593,5828,91,127,3666
3.764663,0,16K,deflate,Android,0.265381,0.025844,0.019393,16338,4031.0,82782.0,9.196335,9.279067,0.344593,5828,91,127,3666
3.764663,0,16K,lz4,Android,0.265381,0.017636,0.010317,16338,5812.0,19018.0,6.676989,6.676146,0.344593,5828,91,127,3666
3.764663,1,16K,gzip,Android,0.224524,0.010193,0.010546,16342,4239.0,24591.0,6.512143,6.625216,0.299455,4992,99,90,3457
3.764663,1,16K,deflate,Android,0.224524,0.016515,0.016589,16342,4287.0,84161.0,9.461291,9.54294,0.299455,4992,99,90,3457
3.764663,1,16K,lz4,Android,0.224524,0.013227,0.012565,16342,6286.0,19265.0,6.761152,6.752852,0.299455,4992,99,90,3457
3.764663,2,16K,gzip,Android,0.180983,0.010297,0.010662,16127,3319.0,32942.0,9.145818,9.203678,0.265799,4772,62,90,4734
3.764663,2,16K,deflate,Android,0.180983,0.01584,0.017326,16127,3383.0,115647.0,13.582738,13.675775,0.265799,4772,62,90,4734
3.764663,2,16K,lz4,Android,0.180983,0.012301,0.010923,16127,4791.0,23288.0,9.484963,9.538651,0.265799,4772,62,90,4734
3.764663,3,16K,gzip,Android,0.592778,0.010098,0.010723,16192,550.0,4283.0,1.002363,0.996805,0.637356,1329,1,68,10161
3.764663,3,16K,deflate,Android,0.592778,0.014809,0.016257,16192,638.0,13902.0,1.37249,1.37275,0.637356,1329,1,68,10161
3.764663,3,16K,lz4,Android,0.592778,0.012347,0.012322,16192,941.0,4449.0,1.018265,1.035286,0.637356,1329,1,68,10161
3.764663,5,16K,gzip,Android,0.251028,0.010278,0.010342,16327,3131.0,26895.0,7.377857,7.414926,0.323887,4516,55,105,6651
3.764663,5,16K,deflate,Android,0.251028,0.016011,0.016292,16327,3205.0,94741.0,10.740698,10.794392,0.323887,4516,55,105,6651
3.764663,5,16K,lz4,Android,0.251028,0.014522,0.013098,16327,4566.0,20434.0,7.642684,7.649412,0.323887,4516,55,105,6651
3.764663,4,16K,gzip,Android,7.812116,0.010482,0.010825,16352,3844.0,32186.0,9.187434,9.085697,7.888221,5199,64,120,4686
3.764663,4,16K,deflate,Android,7.812116,0.019212,0.017538,16352,3920.0,112414.0,13.160788,13.30209,7.888221,5199,64,120,4686
3.764663,4,16K,lz4,Android,7.812116,0.015403,0.010496,16352,5395.0,24581.0,9.3705,9.527438,7.888221,5199,64,120,4686
3.764663,6,16K,gzip,Android,1.720438,0.010506,0.011404,16368,1958.0,14552.0,3.38449,3.380366,1.779721,1474,5,90,10223
3.764663,6,16K,deflate,Android,1.720438,0.018062,0.016886,16368,2133.0,45883.0,4.675981,4.658323,1.779721,1474,5,90,10223
3.764663,6,16K,lz4,Android,1.720438,0.014012,0.013258,16368,2945.0,14765.0,3.521094,3.523992,1.779721,1474,5,90,10223
3.764663,7,16K,gzip,Android,17.420762,0.011118,0.011224,16325,3549.0,35939.0,10.657644,10.667637,17.498063,4126,51,93,6350
3.764663,7,16K,deflate,Android,17.420762,0.016883,0.016981,16325,3662.0,126894.0,15.174604,15.228843,17.498063,4126,51,93,6350
3.764663,7,16K,lz4,Android,17.420762,0.014988,0.015926,16325,5021.0,28629.0,11.12003,11.25049,17.498063,4126,51,93,6350
3.764663,8,16K,gzip,Android,880.715543,0.010879,0.011684,16323,3786.0,57405.0,18.009763,17.914741,880.814011,4145,53,104,7429
3.764663,8,16K,deflate,Android,880.715543,0.015446,0.017175,16323,3834.0,210366.0,26.360295,26.70612,880.814011,4145,53,104,7429
3.764663,8,16K,lz4,Android,880.715543,0.012675,0.011551,16323,5377.0,38122.0,18.740066,18.823939,880.814011,4145,53,104,7429
3.764663,9,16K,gzip,Android,0.23617,0.010931,0.011344,16301,3497.0,22526.0,6.367996,6.411841,0.304776,4661,57,106,5102
3.764663,9,16K,deflate,Android,0.23617,0.018408,0.016224,16301,3569.0,76503.0,8.895658,8.874199,0.304776,4661,57,106,5102
3.764663,9,16K,lz4,Android,0.23617,0.01383,0.010882,16301,4951.0,18139.0,6.649565,6.670553,0.304776,4661,57,106,5102
3.764663,10,16K,gzip,Android,17.421062,0.010898,0.011599,16283,3014.0,24870.0,6.615387,6.766614,17.485922,5310,42,108,4428
3.764663,10,16K,deflate,Android,17.421062,0.01714,0.017613,16283,3114.0,82050.0,9.356712,9.321726,17.485922,5310,42,108,4428
3.764663,10,16K,lz4,Android,17.421062,0.012302,0.011774,16283,4360.0,20607.0,7.032579,7.038483,17.485922,5310,42,108,4428
3.764663,11,16K,gzip,Android,0.281471,0.010958,0.011865,16339,3708.0,29128.0,8.485435,8.558278,0.357139,5046,63,138,5150
3.764663,11,16K,deflate,Android,0.281471,0.018405,0.016183,16339,3763.0,101084.0,11.992201,11.965393,0.357139,5046,63,138,5150
3.764663,11,16K,lz4,Android,0.281471,0.015059,0.013366,16339,5231.0,23175.0,8.714514,8.780188,0.357139,5046,63,138,5150
3.764663,12,16K,gzip,Android,0.216204,0.010972,0.01177,16299,3731.0,32367.0,9.664042,9.686973,0.293991,4825,64,156,6179
3.764663,12,16K,deflate,Android,0.216204,0.017835,0.016672,16299,3802.0,113803.0,13.732996,13.858066,0.293991,4825,64,156,6179
3.764663,12,16K,lz4,Android,0.216204,0.020223,0.011374,16299,5289.0,24385.0,9.944,10.164098,0.293991,4825,64,156,6179
3.764663,13,16K,gzip,Android,0.18479,0.010843,0.011923,16281,3478.0,24951.0,6.831893,6.836843,0.255695,4238,64,159,6107
3.764663,13,16K,deflate,Android,0.18479,0.015994,0.014609,16281,3553.0,83494.0,9.598829,9.557409,0.255695,4238,64,159,6107
