BuildTreeFromTemplateTime,ChunkId,ChunkSize,Compressor,File,MatchTemplateTime,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
6.73241,10,256K,gzip,Thunderbird,0.728339,0.043037,0.040934,262038,21492.0,25232.0,9.135418,9.183987,1.114425,66098,22,37,35189
6.73241,10,256K,deflate,Thunderbird,0.728339,0.072365,0.044404,262038,19169.0,46618.0,9.862545,9.78214,1.114425,66098,22,37,35189
6.73241,10,256K,lz4,Thunderbird,0.728339,0.043261,0.042633,262038,36380.0,44846.0,9.254852,9.243827,1.114425,66098,22,37,35189
6.73241,9,256K,gzip,Thunderbird,2.737702,0.043036,0.041427,262071,33392.0,87919.0,74.132492,74.044542,3.25018,84632,392,860,37583
6.73241,9,256K,deflate,Thunderbird,2.737702,0.059817,0.043661,262071,32311.0,278745.0,81.73791,82.239538,3.25018,84632,392,860,37583
6.73241,9,256K,lz4,Thunderbird,2.737702,0.042427,0.042131,262071,48780.0,84486.0,74.178865,74.116818,3.25018,84632,392,860,37583
6.73241,11,256K,gzip,Thunderbird,68.841617,0.04332,0.041706,262070,20614.0,30781.0,16.045008,16.007911,69.23073,91139,35,148,27247
6.73241,11,256K,deflate,Thunderbird,68.841617,0.055991,0.043118,262070,18311.0,71456.0,17.233766,17.246136,69.23073,91139,35,148,27247
6.73241,11,256K,lz4,Thunderbird,68.841617,0.041891,0.041197,262070,33666.0,49700.0,16.098492,16.129794,69.23073,91139,35,148,27247
6.73241,12,256K,gzip,Thunderbird,15.74921,0.042674,0.041348,262105,22856.0,20013.0,5.393542,5.383505,16.120641,77658,14,553,34705
6.73241,12,256K,deflate,Thunderbird,15.74921,0.056587,0.043701,262105,21470.0,33379.0,5.761854,5.733486,16.120641,77658,14,553,34705
6.73241,12,256K,lz4,Thunderbird,15.74921,0.041365,0.041468,262105,38674.0,42302.0,5.385488,5.396309,16.120641,77658,14,553,34705
6.73241,13,256K,gzip,Thunderbird,16.057184,0.041303,0.041513,261908,8457.0,21071.0,16.305715,16.322357,16.433441,58979,14,154,123023
6.73241,13,256K,deflate,Thunderbird,16.057184,0.055662,0.0449,261908,8893.0,65454.0,17.587881,17.606844,16.433441,58979,14,154,123023
6.73241,13,256K,lz4,Thunderbird,16.057184,0.041636,0.042249,261908,12798.0,24723.0,16.308341,16.341953,16.433441,58979,14,154,123023
6.73241,14,256K,gzip,Thunderbird,3.010839,0.041701,0.040858,261920,6037.0,7348.0,4.509987,4.511125,3.360318,115674,5,28,64710
6.73241,14,256K,deflate,Thunderbird,3.010839,0.052113,0.044836,261920,5965.0,18997.0,4.818104,4.807725,3.360318,115674,5,28,64710
6.73241,14,256K,lz4,Thunderbird,3.010839,0.040659,0.041708,261920,9349.0,10304.0,4.513231,4.527636,3.360318,115674,5,28,64710
6.73241,15,256K,gzip,Thunderbird,0.835316,0.042866,0.040692,262102,15738.0,19328.0,13.049593,12.977174,1.231654,73249,59,350,42324
6.73241,15,256K,deflate,Thunderbird,0.835316,0.055983,0.048296,262102,15678.0,53452.0,14.052357,13.999028,1.231654,73249,59,350,42324
6.73241,15,256K,lz4,Thunderbird,0.835316,0.0411,0.041886,262102,26621.0,22576.0,13.087162,13.058674,1.231654,73249,59,350,42324
6.73241,0,256K,gzip,Thunderbird,34.450636,0.042895,0.041612,262085,18446.0,38418.0,26.938893,26.926625,34.847484,106299,89,486,27856
6.73241,0,256K,deflate,Thunderbird,34.450636,0.061922,0.044238,262085,18103.0,109619.0,29.28964,29.221245,34.847484,106299,89,486,27856
6.73241,0,256K,lz4,Thunderbird,34.450636,0.040826,0.040728,262085,34163.0,51953.0,26.98822,27.034704,34.847484,106299,89,486,27856
6.73241,1,256K,gzip,Thunderbird,1.354241,0.042416,0.042545,261903,10958.0,16105.0,9.166064,9.197368,1.719711,66908,16,101,141108
6.73241,1,256K,deflate,Thunderbird,1.354241,0.054135,0.043943,261903,10859.0,39601.0,9.817772,9.815805,1.719711,66908,16,101,141108
6.73241,1,256K,lz4,Thunderbird,1.354241,0.041913,0.0415,261903,16878.0,20910.0,9.155963,9.220685,1.719711,66908,16,101,141108
6.73241,2,256K,gzip,Thunderbird,12.534624,0.042701,0.041834,262113,24205.0,45672.0,26.12316,26.092629,12.93437,76383,54,268,43694
6.73241,2,256K,deflate,Thunderbird,12.534624,0.059356,0.043775,262113,23458.0,114436.0,28.265723,28.339114,12.93437,76383,54,268,43694
