ChunkId,ChunkSize,Compressor,File,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
25,256K,gzip,Windows,0.012221,0.005519,261978,16929.0,29614.0,2.513239,2.513548,2.41468,94693,20,257,119308
25,256K,deflate,Windows,0.05257,0.005976,261978,17599.0,97027.0,4.708955,4.79604,2.41468,94693,20,257,119308
25,256K,lz4,Windows,0.01162,0.003975,261978,12467.0,26333.0,2.591917,2.597789,2.41468,94693,20,257,119308
40,256K,gzip,Windows,0.004968,0.003518,262019,7457.0,38463.0,3.108584,3.077933,4.578466,88269,27,331,122289
40,256K,deflate,Windows,0.02579,0.005982,262019,8946.0,123369.0,6.032802,5.902135,4.578466,88269,27,331,122289
40,256K,lz4,Windows,0.003794,0.00346,262019,11794.0,38972.0,3.214369,3.329997,4.578466,88269,27,331,122289
61,256K,gzip,Windows,0.005462,0.003861,261990,18586.0,36571.0,2.571023,2.574571,1.879318,98865,19,535,115887
61,256K,deflate,Windows,0.025695,0.006106,261990,18628.0,103021.0,5.014463,4.953832,1.879318,98865,19,535,115887
61,256K,lz4,Windows,0.004058,0.004454,261990,30301.0,36523.0,2.676119,2.777388,1.879318,98865,19,535,115887
36,256K,gzip,Windows,0.005175,0.003795,262111,8998.0,33927.0,2.989875,2.981742,2.647184,112122,25,146,95283
36,256K,deflate,Windows,0.026847,0.006084,262111,10236.0,115013.0,5.797826,5.832694,2.647184,112122,25,146,95283
36,256K,lz4,Windows,0.004236,0.004247,262111,15403.0,33757.0,3.196208,3.237173,2.647184,112122,25,146,95283
37,256K,gzip,Windows,0.005391,0.003786,261971,16730.0,35945.0,2.78295,2.785589,2.346825,95943,21,438,117765
37,256K,deflate,Windows,0.024649,0.006441,261971,16985.0,109973.0,5.299054,5.342115,2.346825,95943,21,438,117765
37,256K,lz4,Windows,0.005266,0.004822,261971,27387.0,36464.0,2.873415,2.933535,2.346825,95943,21,438,117765
18,256K,gzip,Windows,0.005388,0.003788,262105,13432.0,32275.0,2.851568,2.714255,2.005169,98329,23,198,116455
18,256K,deflate,Windows,0.026427,0.006132,262105,13877.0,104110.0,5.332233,5.295448,2.005169,98329,23,198,116455
18,256K,lz4,Windows,0.005311,0.004196,262105,11914.0,30862.0,3.015402,3.009335,2.005169,98329,23,198,116455
46,256K,gzip,Windows,0.005008,0.003686,262101,5574.0,22396.0,1.81316,1.826719,7.202846,59837,13,397,153175
46,256K,deflate,Windows,0.024327,0.006059,262101,6005.0,71327.0,3.504635,3.499145,7.202846,59837,13,397,153175
46,256K,lz4,Windows,0.004045,0.003492,262101,8923.0,24199.0,1.995314,2.040849,7.202846,59837,13,397,153175
35,256K,gzip,Windows,0.005708,0.003872,262119,18832.0,22167.0,1.140695,1.156637,1.599719,100690,9,508,114121
35,256K,deflate,Windows,0.023901,0.006312,262119,18959.0,51528.0,2.204952,2.182239,1.599719,100690,9,508,114121
35,256K,lz4,Windows,0.005453,0.005535,262119,30856.0,26557.0,1.28764,1.286983,1.599719,100690,9,508,114121
91,256K,gzip,Windows,0.00569,0.003847,262050,15942.0,32505.0,3.007678,2.951542,3.274223,88740,21,304,126200
91,256K,deflate,Windows,0.022007,0.006439,262050,16291.0,105252.0,5.576071,5.559644,3.274223,88740,21,304,126200
91,256K,lz4,Windows,0.005413,0.004667,262050,12749.0,28518.0,3.210595,3.304934,3.274223,88740,21,304,126200
5,256K,gzip,Windows,0.005348,0.003816,262015,10885.0,30499.0,2.697356,2.728409,4.844003,77966,20,383,133772
5,256K,deflate,Windows,0.023606,0.006426,262015,11782.0,97281.0,5.134428,5.177511,4.844003,77966,20,383,133772
5,256K,lz4,Windows,0.004723,0.004808,262015,11029.0,27541.0,2.957609,2.986854,4.844003,77966,20,383,133772
16,256K,gzip,Windows,0.005681,0.004223,262123,16868.0,30307.0,2.728223,2.809627,2.267433,95559,21,248,118595
16,256K,deflate,Windows,0.023331,0.006544,262123,17319.0,99500.0,5.304171,5.252548,2.267433,95559,21,248,118595
16,256K,lz4,Windows,0.005506,0.005329,262123,12797.0,26989.0,3.063299,3.127689,2.267433,95559,21,248,118595
66,256K,gzip,Windows,0.005657,0.004009,262080,14163.0,34414.0,2.88112,2.92323,3.795394,84994,21,451,128505
66,256K,deflate,Windows,0.022812,0.006731,262080,14596.0,105543.0,5.548515,5.596248,3.795394,84994,21,451,128505
66,256K,lz4,Windows,0.004197,0.00351,262080,14230.0,32724.0,3.191375,3.255783,3.795394,84994,21,451,128505
33,256K,gzip,Windows,0.005768,0.004088,262083,17458.0,31769.0,2.685937,2.670252,2.249498,96092,19,386,118812
33,256K,deflate,Windows,0.025608,0.00674,262083,17697.0,95254.0,5.014713,4.894576,2.249498,96092,19,386,118812
33,256K,lz4,Windows,0.00618,0.005508,262083,28317.0,30554.0,2.928438,2.973438,2.249498,96092,19,386,118812
8,256K,gzip,Windows,0.005799,0.004051,262064,18449.0,18414.0,1.270739,1.26138,1.596951,100687,9,332,114121
8,256K,deflate,Windows,0.026062,0.006672,262064,18669.0,49035.0,2.308775,2.272022,1.596951,100687,9,332,114121
8,256K,lz4,Windows,0.004496,0.005701,262064,30844.0,20799.0,1.391416,1.438556,1.596951,100687,9,332,114121
71,256K,gzip,Windows,0.005829,0.004079,262054,18113.0,36593.0,3.082429,3.081737,1.981741,98062,21,521,116819
71,256K,deflate,Windows,0.025071,0.006689,262054,18301.0,108830.0,5.807397,5.853143,1.981741,98062,21,521,116819
