File: Hadoop.log, Parsing time 0:00:49.824236
File: Zookeeper.log, Parsing time 0:00:14.579903
File: HPC.log, Parsing time 0:01:20.053640
File: Linux.log, Parsing time 0:00:04.964016
File: Android.log, Parsing time 0:08:41.256400
File: HealthApp.log, Parsing time 0:00:45.836349
File: Apache.log, Parsing time 0:00:11.700526
File: Proxifier.log, Parsing time 0:00:04.806610
File: OpenSSH.log, Parsing time 0:02:19.427307
File: OpenStack.log, Parsing time 0:03:06.590047
File: HDFS.log, Parsing time 0:34:47.223614
File: Mac.log, Parsing time 0:46:51.523185
File: Spark.log, Parsing time 1:32:43.076651
File: Windows.log, Parsing time 8:13:33.210389
File: Thunderbird.log, Parsing time 6 days, 11:14:26.363585
File: BGL.log, Parsing time 0:06:56.559711
